VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
2C4RC1N77K,King,Burien,WA,98146,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,34,476548103,POINT (-122.36322 47.49736),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700
1G1FW6S04K,Jefferson,Port Townsend,WA,98368,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,24,127143950,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950501
7SYEA3YB8S,King,Seattle,WA,98105,2025,POLESTAR,POLESTAR 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,43,278285164,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004401
1N4AZ0CP0D,King,Kent,WA,98030,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,33,141356687,POINT (-122.19975 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029702
1V2WNPE87P,Kitsap,Bremerton,WA,98337,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,26,251159114,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080500
3GPKHXRJ8R,King,Seattle,WA,98125,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,46,281641930,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900
KNDPYDDH2S,King,Bellevue,WA,98007,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,41,281828501,POINT (-122.12056 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023401
1G1FZ6S08M,Thurston,Olympia,WA,98506,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,22,267645570,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
1G1RD6S56J,King,Kent,WA,98031,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33,290515102,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029305
WBY43AW04R,King,Seattle,WA,98133,2024,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,32,278958844,POINT (-122.33364 47.73709),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000404
KNDCM3LD1K,Kitsap,Poulsbo,WA,98370,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,23,229892869,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090501
JTMFB3FV3R,King,Seattle,WA,98177,2024,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,32,261815998,POINT (-122.37238 47.74068),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402
7SAYGDEE6P,King,Sammamish,WA,98074,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,45,251384962,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225
